source,target,Timestamp
mar_feliciano,Raul64783731,2023-04-13T08:16:36.000Z
Raul64783731,rac1,2023-04-13T08:14:45.000Z
DR54213348,rovelldou1,2023-04-13T08:14:38.000Z
JoseLuisPrezM10,EstadoDAlarmaTV,2023-04-13T08:13:48.000Z
felixriker,Jaume752,2023-04-13T08:13:42.000Z
ander_the_table,_aaalvar,2023-04-13T08:13:26.000Z
AntonioLista14,PareraEva,2023-04-13T08:11:59.000Z
nuninunesss,OnVasBarcelona,2023-04-13T08:11:19.000Z
A_d_r_o_a_l,bcnencomu,2023-04-13T08:09:45.000Z
A_d_r_o_a_l,paufaus,2023-04-13T08:09:45.000Z
A_d_r_o_a_l,cinemamalda,2023-04-13T08:09:45.000Z
PatiLailla,elnacionalcat,2023-04-13T08:09:32.000Z
pepe_fajula,squad_milf,2023-04-13T08:08:27.000Z
nomedigas29,rovelldou1,2023-04-13T08:08:09.000Z
cava_SEdR,Jaume752,2023-04-13T08:06:50.000Z
Rossend7,rovelldou1,2023-04-13T08:06:32.000Z
carcante5,EstadoDAlarmaTV,2023-04-13T08:06:05.000Z
Guatlleta,Jaume752,2023-04-13T08:05:49.000Z
Montser42153162,rovelldou1,2023-04-13T08:01:53.000Z
EsticTranquil,Jaume752,2023-04-13T08:01:03.000Z
MontseVila2,Jaume752,2023-04-13T08:01:03.000Z
enricmabo,ictlogist,2023-04-13T08:00:30.000Z
ReigRico,rovelldou1,2023-04-13T07:59:05.000Z
R10HoodMasquefa,vadortitus,2023-04-13T07:58:44.000Z
R10HoodMasquefa,Diari_Public,2023-04-13T07:58:44.000Z
R10HoodMasquefa,taniaverge,2023-04-13T07:58:44.000Z
R10HoodMasquefa,carlescampuzano,2023-04-13T07:58:44.000Z
R10HoodMasquefa,ernestmaragall,2023-04-13T07:58:44.000Z
R10HoodMasquefa,ERCbcn,2023-04-13T07:58:44.000Z
cugatmedia,damiacalvet,2023-04-13T07:57:41.000Z
cugatmedia,xaviertrias,2023-04-13T07:57:41.000Z
cugatmedia,TriasperBCN,2023-04-13T07:57:41.000Z
badalola58,BentanachsFredi,2023-04-13T07:57:07.000Z
badalola58,titonlailla,2023-04-13T07:57:07.000Z
CarmeVicensC,AngelaDomenech9,2023-04-13T07:57:03.000Z
APenaMol,rovelldou1,2023-04-13T07:56:40.000Z
AndreuCd,BentanachsFredi,2023-04-13T07:56:09.000Z
AndreuCd,titonlailla,2023-04-13T07:56:09.000Z
PEspunyes,Jaume752,2023-04-13T07:54:56.000Z
naranjer,BentanachsFredi,2023-04-13T07:54:21.000Z
naranjer,titonlailla,2023-04-13T07:54:21.000Z
DersuUzala23,ancormesa,2023-04-13T07:53:59.000Z
salatjosep,Jaume752,2023-04-13T07:53:37.000Z
salatjosep,rovelldou1,2023-04-13T07:53:28.000Z
ander_the_table,pepegalvez1,2023-04-13T07:53:06.000Z
jhonloflipas,alixx06,2023-04-13T07:52:36.000Z
fart_i_moltfart,Jaume752,2023-04-13T07:50:59.000Z
cfageda,rovelldou1,2023-04-13T07:49:23.000Z
roge_bcn,rovelldou1,2023-04-13T07:48:44.000Z
imparcialrazon,Puntual24H,2023-04-13T07:47:58.000Z
GranOrwell,Jaume752,2023-04-13T07:47:46.000Z
jepigoms,Jaume752,2023-04-13T07:47:39.000Z
Fina96425085,rovelldou1,2023-04-13T07:46:35.000Z
SFamiliaEnComu,bcnencomu,2023-04-13T07:46:30.000Z
SFamiliaEnComu,paufaus,2023-04-13T07:46:30.000Z
SFamiliaEnComu,cinemamalda,2023-04-13T07:46:30.000Z
ivonnediaz2203,EstadoDAlarmaTV,2023-04-13T07:46:18.000Z
IThinkUPC,CIT_UPC,2023-04-13T07:44:37.000Z
IThinkUPC,bcn_ajuntament,2023-04-13T07:44:37.000Z
Arnaufinselsous,Jaume752,2023-04-13T07:42:50.000Z
cfageda,Jaume752,2023-04-13T07:42:48.000Z
Wilmchen1,LT16616534,2023-04-13T07:42:45.000Z
GironaJean,btvnoticies,2023-04-13T07:42:28.000Z
GironaJean,juanarza,2023-04-13T07:42:20.000Z
GironaJean,valents_cat,2023-04-13T07:42:20.000Z
GironaJean,jimmybaucells,2023-04-13T07:41:58.000Z
miauduru,EstadoDAlarmaTV,2023-04-13T07:41:13.000Z
Tarsi46220811,Jaume752,2023-04-13T07:40:36.000Z
sabjm48,rovelldou1,2023-04-13T07:40:07.000Z
JoanOliu,BentanachsFredi,2023-04-13T07:39:16.000Z
JoanOliu,titonlailla,2023-04-13T07:39:16.000Z
CarlosCastroBuf,Jaume752,2023-04-13T07:38:11.000Z
Sergio_Camoiras,EstadoDAlarmaTV,2023-04-13T07:36:08.000Z
Seguidofilo,hazteoir,2023-04-13T07:35:40.000Z
Juan_Astasio,rovelldou1,2023-04-13T07:35:40.000Z
Maricar29452716,rovelldou1,2023-04-13T07:34:59.000Z
viremi06,DerFekka,2023-04-13T07:34:53.000Z
Maricar29452716,Jaume752,2023-04-13T07:34:40.000Z
javiertres,Jaume752,2023-04-13T07:34:29.000Z
ramonbamo,rovelldou1,2023-04-13T07:34:21.000Z
monvite7,rovelldou1,2023-04-13T07:34:18.000Z
jalburquerqueg1,Jaume752,2023-04-13T07:33:28.000Z
5Peyton,MarcFerre_Cat,2023-04-13T07:33:18.000Z
pedromartinezp9,DerFekka,2023-04-13T07:32:25.000Z
catinowwhat,PivotDelaBoque,2023-04-13T07:32:08.000Z
catinowwhat,bcn_ajuntament,2023-04-13T07:32:08.000Z
catinowwhat,bcnencomu,2023-04-13T07:32:08.000Z
rgconchita,AlbertoCaliu,2023-04-13T07:31:33.000Z
AGlubinski,Jaume752,2023-04-13T07:29:34.000Z
grete_de,AlbertoCaliu,2023-04-13T07:29:21.000Z
maitediaz,TheObjective_es,2023-04-13T07:29:02.000Z
Laiesken,kikoP9,2023-04-13T07:28:32.000Z
jratells,Jaume752,2023-04-13T07:27:59.000Z
kmaleonmanel,Juanal_47,2023-04-13T07:27:57.000Z
LoremIpsum_1,kikoP9,2023-04-13T07:27:39.000Z
comuns_info,jessicaalbiach,2023-04-13T07:25:45.000Z
macanas23,DesokupaOficial,2023-04-13T07:25:40.000Z
Vibella27,Jaume752,2023-04-13T07:23:41.000Z
domsfolkloric,moselle_sud,2023-04-13T07:22:57.000Z
Carmerb,Jaume752,2023-04-13T07:21:44.000Z
boomboox_net,AdaColau,2023-04-13T07:21:24.000Z
boomboox_net,_______,2023-04-13T07:21:24.000Z
RepublicaJo,rovelldou1,2023-04-13T07:20:54.000Z
alexperlindycat,apuente,2023-04-13T07:20:31.000Z
mannuu80,DerFekka,2023-04-13T07:19:33.000Z
ander_the_table,ancormesa,2023-04-13T07:19:01.000Z
rodenas71,pepegalvez1,2023-04-13T07:18:32.000Z
laurionetwo,DerFekka,2023-04-13T07:18:11.000Z
ProuHostia,Jaume752,2023-04-13T07:17:37.000Z
AureliusLittle,VS4_ABRAZADO,2023-04-13T07:16:32.000Z
LoliSalas7,PivotDelaBoque,2023-04-13T07:16:17.000Z
LoliSalas7,bcn_ajuntament,2023-04-13T07:16:17.000Z
LoliSalas7,bcnencomu,2023-04-13T07:16:17.000Z
OHLen4,rovelldou1,2023-04-13T07:15:21.000Z
vilacosc,rovelldou1,2023-04-13T07:14:51.000Z
pablo_schlegl,Jaume752,2023-04-13T07:14:09.000Z
eslava_mercedes,Jaume752,2023-04-13T07:13:21.000Z
titonlailla,BentanachsFredi,2023-04-13T07:13:20.000Z
titonlailla,titonlailla,2023-04-13T07:13:20.000Z
jserravi,Jaume752,2023-04-13T07:13:19.000Z
KarinagibertK,la_UPC,2023-04-13T07:12:57.000Z
KarinagibertK,cecilioangulo,2023-04-13T07:12:57.000Z
KarinagibertK,ulisescortes,2023-04-13T07:12:57.000Z
KarinagibertK,KarinagibertK,2023-04-13T07:12:57.000Z
KMaituga,rovelldou1,2023-04-13T07:12:24.000Z
Sam64642886,ictlogist,2023-04-13T07:12:05.000Z
ander_the_table,rac1,2023-04-13T07:12:04.000Z
ander_the_table,CarlesSpa,2023-04-13T07:12:04.000Z
acarbotorres,rac1,2023-04-13T07:11:14.000Z
ECCEHOM54355458,MarcFerre_Cat,2023-04-13T07:10:46.000Z
UltimoCamino,DerFekka,2023-04-13T07:10:30.000Z
elna2010,Jaume752,2023-04-13T07:10:29.000Z
mercedesgl,DerFekka,2023-04-13T07:10:00.000Z
16DarHamed,DerFekka,2023-04-13T07:09:57.000Z
planellferrer,rovelldou1,2023-04-13T07:09:54.000Z
estermartia,ictlogist,2023-04-13T07:07:57.000Z
estel99,rovelldou1,2023-04-13T07:07:10.000Z
Pangonique,DerFekka,2023-04-13T07:07:04.000Z
JosAnto33155023,pp_bcn,2023-04-13T07:06:36.000Z
martamu4,rovelldou1,2023-04-13T07:06:24.000Z
OHLen4,Wertyalord1,2023-04-13T07:06:13.000Z
OHLen4,carrizosacarlos,2023-04-13T07:06:13.000Z
PivotDelaBoque,bcn_ajuntament,2023-04-13T07:06:09.000Z
PivotDelaBoque,bcnencomu,2023-04-13T07:06:09.000Z
BentanachsFredi,BentanachsFredi,2023-04-13T07:05:19.000Z
BentanachsFredi,titonlailla,2023-04-13T07:05:19.000Z
Ciddavid,bcnencomu,2023-04-13T07:05:17.000Z
Ciddavid,paufaus,2023-04-13T07:05:17.000Z
Ciddavid,cinemamalda,2023-04-13T07:05:17.000Z
BentanachsFredi,titonlailla,2023-04-13T07:05:14.000Z
BentanachsFredi,xaviertrias,2023-04-13T07:05:14.000Z
ProuHostia,rovelldou1,2023-04-13T07:04:28.000Z
BlancheDu_Bois,DerFekka,2023-04-13T07:04:07.000Z
Fl38432806,Eduardo54812683,2023-04-13T07:04:02.000Z
FraileSudapo,DerFekka,2023-04-13T07:04:01.000Z
ander_the_table,rac1,2023-04-13T07:03:27.000Z
HezperanzaA,DerFekka,2023-04-13T07:03:23.000Z
artedeseo,DerFekka,2023-04-13T07:03:18.000Z
MariaGijon5,DerFekka,2023-04-13T07:03:17.000Z
jtm47015375,LibreMarea,2023-04-13T07:02:40.000Z
jtm47015375,Moni_garca,2023-04-13T07:02:40.000Z
jtm47015375,JoseJuanBlanca5,2023-04-13T07:02:40.000Z
DoctoraADeFecca,DerFekka,2023-04-13T07:02:03.000Z
DespertaFerro11,MargaXrepublica,2023-04-13T07:01:55.000Z
BentanachsFredi,Juanal_47,2023-04-13T07:01:10.000Z
Poxci53,rovelldou1,2023-04-13T07:00:57.000Z
spanishgandhi,DerFekka,2023-04-13T07:00:26.000Z
AngelsTurdiu,rovelldou1,2023-04-13T07:00:21.000Z
Chupachus14,DerFekka,2023-04-13T06:59:56.000Z
Noedig63,LT16616534,2023-04-13T06:58:34.000Z
PirataLilu,Jaume752,2023-04-13T06:58:25.000Z
Putrefacha,DerFekka,2023-04-13T06:57:38.000Z
pallarsibruce,rovelldou1,2023-04-13T06:57:20.000Z
guillemsi,rovelldou1,2023-04-13T06:55:54.000Z
DoloresGarcia3,rovelldou1,2023-04-13T06:55:53.000Z
rosermf,Jaume752,2023-04-13T06:55:28.000Z
Patriotacatala1,MarcFerre_Cat,2023-04-13T06:55:28.000Z
solarin29,MarcFerre_Cat,2023-04-13T06:55:19.000Z
Angipanella,xriusenoticies,2023-04-13T06:54:58.000Z
Angipanella,enoticiescat,2023-04-13T06:54:58.000Z
estanislaufons,rovelldou1,2023-04-13T06:54:47.000Z
JuanJos89876867,DerFekka,2023-04-13T06:54:46.000Z
vima714,rovelldou1,2023-04-13T06:54:17.000Z
RedDeaht,DerFekka,2023-04-13T06:54:16.000Z
Kontroll_Gruppe,LT16616534,2023-04-13T06:53:57.000Z
alaforca,CarlosA72171987,2023-04-13T06:53:55.000Z
alaforca,antroperplejo,2023-04-13T06:53:55.000Z
guillemsi,Jaume752,2023-04-13T06:53:16.000Z
isca681,jordigalves,2023-04-13T06:51:44.000Z
isca681,taniaverge,2023-04-13T06:51:44.000Z
EugeniaEsteve,Jaume752,2023-04-13T06:51:14.000Z
Asun21019537,Jaume752,2023-04-13T06:51:13.000Z
CUPLesCorts,kikoP9,2023-04-13T06:50:39.000Z
tarantamocos,rac1,2023-04-13T06:50:20.000Z
subsola,rovelldou1,2023-04-13T06:49:30.000Z
Kathari17155211,LT16616534,2023-04-13T06:49:05.000Z
CarlesValbuena,jordigalves,2023-04-13T06:49:04.000Z
CarlesValbuena,taniaverge,2023-04-13T06:49:04.000Z
DanielG06251142,rovelldou1,2023-04-13T06:47:39.000Z
chusi17,rovelldou1,2023-04-13T06:47:11.000Z
PPEixample,danielsirera,2023-04-13T06:47:04.000Z
rmbellet,unquartdegalves,2023-04-13T06:47:02.000Z
rmbellet,jordigalves,2023-04-13T06:47:02.000Z
rmbellet,Pdemocratacat,2023-04-13T06:47:02.000Z
rmbellet,JuntsXCat,2023-04-13T06:47:02.000Z
rmbellet,pacomarhuenda,2023-04-13T06:47:02.000Z
rmbellet,Esquerra_ERC,2023-04-13T06:47:02.000Z
rmbellet,socialistes_cat,2023-04-13T06:47:02.000Z
rmbellet,KRLS,2023-04-13T06:47:02.000Z
rmbellet,xaviertrias,2023-04-13T06:47:02.000Z
rmbellet,junqueras,2023-04-13T06:47:02.000Z
rmbellet,larazon_es,2023-04-13T06:47:02.000Z
rmbellet,CridaNacional,2023-04-13T06:47:02.000Z
avjtw,Jaume752,2023-04-13T06:46:38.000Z
chusi17,Jaume752,2023-04-13T06:46:32.000Z
Francesc_Roca,rac1,2023-04-13T06:44:20.000Z
CintaVerge,Jaume752,2023-04-13T06:44:09.000Z
Alfredvilo,Jaume752,2023-04-13T06:43:46.000Z
magistrado69,ictlogist,2023-04-13T06:42:54.000Z
ignasi_mallol,Jaume752,2023-04-13T06:41:50.000Z
silviasaiz_1714,MariaMiquel1,2023-04-13T06:41:18.000Z
DespertaFerro11,elnacionalcat,2023-04-13T06:41:02.000Z
JciuranaJoan14,Jaume752,2023-04-13T06:40:39.000Z
CreusAleix,Jaume752,2023-04-13T06:39:39.000Z
x_oc_r,rovelldou1,2023-04-13T06:39:39.000Z
Jabbastation,rovelldou1,2023-04-13T06:39:14.000Z
jmpelleja,rovigar59,2023-04-13T06:38:38.000Z
CarlesSpa,rac1,2023-04-13T06:38:32.000Z
jolsina3,Jaume752,2023-04-13T06:38:26.000Z
a_falco9,rovelldou1,2023-04-13T06:36:41.000Z
tecnopassion1,rovelldou1,2023-04-13T06:35:44.000Z
rafacuencagamiz,ictlogist,2023-04-13T06:34:27.000Z
fvillaescusac,bcnencomu,2023-04-13T06:34:16.000Z
fvillaescusac,paufaus,2023-04-13T06:34:16.000Z
fvillaescusac,cinemamalda,2023-04-13T06:34:16.000Z
elmonarac1,elmonarac1,2023-04-13T06:34:08.000Z
perez_willson,AlbertoCaliu,2023-04-13T06:32:56.000Z
DeuJoseh,Jaume752,2023-04-13T06:31:30.000Z
paradellm,Jaume752,2023-04-13T06:28:50.000Z
CachiruloI,rovelldou1,2023-04-13T06:28:28.000Z
Isaac__am,rovelldou1,2023-04-13T06:28:26.000Z
pacomarina6,BalbontinCas,2023-04-13T06:27:58.000Z
africa_parra,paufaus,2023-04-13T06:27:48.000Z
africa_parra,cinemamalda,2023-04-13T06:27:48.000Z
ChustAmparo,danielsirera,2023-04-13T06:27:43.000Z
xaavedra,laSextaXplica,2023-04-13T06:27:22.000Z
CecilForne,Jaume752,2023-04-13T06:26:13.000Z
MontserratAran9,rovelldou1,2023-04-13T06:24:36.000Z
tous_prats,Jaume752,2023-04-13T06:24:22.000Z
montsegc65,Jaume752,2023-04-13T06:23:14.000Z
MontserratAran9,Jaume752,2023-04-13T06:22:59.000Z
AlujasG,rovelldou1,2023-04-13T06:21:53.000Z
TheObjective_es,annagrauarias,2023-04-13T06:21:22.000Z
WillyMa38682369,rovelldou1,2023-04-13T06:21:15.000Z
AcijoD,rovelldou1,2023-04-13T06:20:36.000Z
894_luk,Jaume752,2023-04-13T06:16:34.000Z
jdalmauvives,Jaume752,2023-04-13T06:15:58.000Z
tnia27542530,Eduardo54812683,2023-04-13T06:15:34.000Z
Muntsamar,rovelldou1,2023-04-13T06:15:28.000Z
SioqueNofotis,MariaMiquel1,2023-04-13T06:14:34.000Z
monterhusmore,OnVasBarcelona,2023-04-13T06:12:24.000Z
Edisonb44659906,EstadoDAlarmaTV,2023-04-13T06:12:17.000Z
mariaredondo18,bcnencomu,2023-04-13T06:11:46.000Z
mariaredondo18,paufaus,2023-04-13T06:11:46.000Z
mariaredondo18,cinemamalda,2023-04-13T06:11:46.000Z
serrate_jordi,Jaume752,2023-04-13T06:11:29.000Z
infoRAC1,rac1,2023-04-13T06:10:25.000Z
begonys,comuns_info,2023-04-13T06:10:25.000Z
Montse00166144,Jaume752,2023-04-13T06:10:20.000Z
Marielgarmon,rovelldou1,2023-04-13T06:10:08.000Z
Rossimarley21,rovelldou1,2023-04-13T06:10:04.000Z
Tsukino1980,EstadoDAlarmaTV,2023-04-13T06:08:15.000Z
LarssonMontse,Jaume752,2023-04-13T06:08:01.000Z
Veronic04174406,Jaume752,2023-04-13T06:07:49.000Z
afrikaka,Jaume752,2023-04-13T06:07:24.000Z
jomatrefa,Jaume752,2023-04-13T06:06:11.000Z
RoigNan,MargaXrepublica,2023-04-13T06:05:35.000Z
LarrysMontse,rovelldou1,2023-04-13T06:05:04.000Z
JoanBorrs7,rovelldou1,2023-04-13T06:04:29.000Z
mmontero1151,rovelldou1,2023-04-13T06:04:28.000Z
XaviGBarbera,la_UPC,2023-04-13T06:00:46.000Z
XaviGBarbera,cecilioangulo,2023-04-13T06:00:46.000Z
XaviGBarbera,ulisescortes,2023-04-13T06:00:46.000Z
XaviGBarbera,KarinagibertK,2023-04-13T06:00:46.000Z
TRufus_Firefly,Jaume752,2023-04-13T05:59:58.000Z
CarmeMirallesGu,paufaus,2023-04-13T05:59:09.000Z
CarmeMirallesGu,cinemamalda,2023-04-13T05:59:09.000Z
Kami695429460,EstadoDAlarmaTV,2023-04-13T05:58:33.000Z
Anna_Tarragona,rovelldou1,2023-04-13T05:58:06.000Z
martinetimes,jcorbalan,2023-04-13T05:56:26.000Z
martinetimes,elnacionalcat,2023-04-13T05:56:12.000Z
revilucapema,contrastado,2023-04-13T05:55:43.000Z
Anna_Tarragona,Jaume752,2023-04-13T05:55:34.000Z
joselito1_618,Jaume752,2023-04-13T05:55:13.000Z
Lo_Graller,rovelldou1,2023-04-13T05:54:44.000Z
mogasmaresma1,rovelldou1,2023-04-13T05:54:40.000Z
ZomenoJavier,VSumergida,2023-04-13T05:54:25.000Z
NuriMoBo,Jaume752,2023-04-13T05:54:25.000Z
CirunCh,rovelldou1,2023-04-13T05:53:45.000Z
felixriker,rovelldou1,2023-04-13T05:53:10.000Z
elmojama4,comuns_info,2023-04-13T05:52:41.000Z
Cruella21493708,rovelldou1,2023-04-13T05:52:35.000Z
papafachita,EstadoDAlarmaTV,2023-04-13T05:52:31.000Z
DolsR,rovelldou1,2023-04-13T05:52:24.000Z
silviljos,astaroth75,2023-04-13T05:52:12.000Z
silviljos,elmundoes,2023-04-13T05:52:12.000Z
Hawkeyetom62,LT16616534,2023-04-13T05:52:11.000Z
Joan72792752,Jaume752,2023-04-13T05:51:18.000Z
x_namor,Jaume752,2023-04-13T05:49:50.000Z
JoanRub45406634,rovelldou1,2023-04-13T05:49:43.000Z
Alsina1970,Jaume752,2023-04-13T05:48:55.000Z
portis_ana,puerto_duc,2023-04-13T05:47:04.000Z
vallmy,MarcFerre_Cat,2023-04-13T05:45:41.000Z
_FormenteraLife,Jaume752,2023-04-13T05:45:40.000Z
selvata10,kikoP9,2023-04-13T05:44:57.000Z
mvilama2,Jaume752,2023-04-13T05:44:39.000Z
jmpelleja,Jaume752,2023-04-13T05:43:46.000Z
Wertyalord1,carrizosacarlos,2023-04-13T05:42:19.000Z
svidorre,MarcFerre_Cat,2023-04-13T05:42:01.000Z
jordi56453192,rovelldou1,2023-04-13T05:41:40.000Z
GSuarezLuque,Villalon1Isabel,2023-04-13T05:40:50.000Z
GSuarezLuque,WernerBechtel,2023-04-13T05:40:50.000Z
EvaEste17274694,BalaschMiguel,2023-04-13T05:40:39.000Z
EvaEste17274694,valents_cat,2023-04-13T05:40:39.000Z
EvaEste17274694,PareraEva,2023-04-13T05:40:39.000Z
EvaEste17274694,albertguivernau,2023-04-13T05:40:39.000Z
EvaEste17274694,MarilenBarcelo,2023-04-13T05:40:39.000Z
EvaEste17274694,JCastello23,2023-04-13T05:40:39.000Z
EvaEste17274694,oscar_benitez_b,2023-04-13T05:40:39.000Z
EvaEste17274694,PauASantiago,2023-04-13T05:40:39.000Z
EvaEste17274694,MiguelMV1984,2023-04-13T05:40:39.000Z
jmpelleja,MargaXrepublica,2023-04-13T05:40:11.000Z
wallcarca,MarcFerre_Cat,2023-04-13T05:39:50.000Z
mariathathiana,astaroth75,2023-04-13T05:39:26.000Z
mariathathiana,elmundoes,2023-04-13T05:39:26.000Z
MarcZenTime,Jaume752,2023-04-13T05:38:25.000Z
WillyMa38682369,Jaume752,2023-04-13T05:38:10.000Z
Hocine_djz,JuanmiGG_News,2023-04-13T05:38:00.000Z
jmpelleja,rovelldou1,2023-04-13T05:37:17.000Z
8choa,paufaus,2023-04-13T05:36:57.000Z
8choa,cinemamalda,2023-04-13T05:36:57.000Z
annickrepublic2,rovelldou1,2023-04-13T05:34:27.000Z
pony9271,Jaume752,2023-04-13T05:33:32.000Z
annickrepublic2,Jaume752,2023-04-13T05:33:14.000Z
abalorios4,AlbertoCaliu,2023-04-13T05:32:50.000Z
PereCastillo53,rovelldou1,2023-04-13T05:30:48.000Z
Beatriz28144321,EstadoDAlarmaTV,2023-04-13T05:29:21.000Z
ivanvoinitski,Jaume752,2023-04-13T05:29:13.000Z
annickrepublic2,MarcFerre_Cat,2023-04-13T05:27:20.000Z
MIQUELBALLESTE,Jaume752,2023-04-13T05:27:10.000Z
SmashedYaChick,EstadoDAlarmaTV,2023-04-13T05:27:04.000Z
Pacgarci,AlbertoCaliu,2023-04-13T05:26:02.000Z
Arale0975,OnVasBarcelona,2023-04-13T05:24:19.000Z
nyordialba,Jaume752,2023-04-13T05:22:48.000Z
nosa96746091,Jaume752,2023-04-13T05:22:42.000Z
margajor,Jaume752,2023-04-13T05:22:00.000Z
PereCastillo53,Jaume752,2023-04-13T05:20:11.000Z
JordiGonB,MiguelMV1984,2023-04-13T05:19:47.000Z
aralib,EstadoDAlarmaTV,2023-04-13T05:17:09.000Z
Javibcn007,EstadoDAlarmaTV,2023-04-13T05:16:20.000Z
Mecedes21958507,jessicaalbiach,2023-04-13T05:16:09.000Z
floskinborkkum1,Jaume752,2023-04-13T05:14:40.000Z
JessAng79209006,danielsirera,2023-04-13T05:14:14.000Z
GovernExil,Jaume752,2023-04-13T05:12:32.000Z
bassas_vicente,rovelldou1,2023-04-13T05:11:42.000Z
Gregorius_1984,rac1,2023-04-13T05:07:07.000Z
RudolfGottfried,LT16616534,2023-04-13T05:07:06.000Z
brmgirona,rovelldou1,2023-04-13T05:03:19.000Z
teresasoley,rovelldou1,2023-04-13T05:01:24.000Z
JavierFarelo,tomasrp3_,2023-04-13T05:00:43.000Z
JoanAmatPalls1,rovelldou1,2023-04-13T05:00:40.000Z
mangelsgarcia,rovelldou1,2023-04-13T04:57:27.000Z
anorok77,cikibucka,2023-04-13T04:56:30.000Z
FraderaLluis,Jaume752,2023-04-13T04:55:59.000Z
MarisolRoMel,Jaume752,2023-04-13T04:54:54.000Z
merybrunet,Jaume752,2023-04-13T04:54:51.000Z
Pequeno_Tio,EstadoDAlarmaTV,2023-04-13T04:52:11.000Z
E_Giro7,rovelldou1,2023-04-13T04:49:10.000Z
ernesturtasun,paufaus,2023-04-13T04:48:35.000Z
